"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 14 10:42:55 BDT 2024","Wed Feb 14 10:43:06 BDT 2024","10284","Surefire suite","Surefire test","testcases.TestRegister","testcases.TestRegister","testWithInvalidCredential","Verify Register functionality with invalid credentials","User should not be allowed to Register with invalid data"
"passed","Wed Feb 14 10:39:39 BDT 2024","Wed Feb 14 10:39:49 BDT 2024","10200","Surefire suite","Surefire test","testcases.TestRegister","testcases.TestRegister","testWithInvalidCredential","Verify Register functionality with invalid credentials","User should not be allowed to Register with invalid data"
"broken","Wed Feb 14 10:36:58 BDT 2024","Wed Feb 14 10:37:38 BDT 2024","40201","Surefire suite","Surefire test","testcases.TestRegister","testcases.TestRegister","testWithInvalidCredential","Verify Register functionality with invalid credentials","User should not be allowed to Register with invalid data"
"passed","Wed Feb 14 10:39:27 BDT 2024","Wed Feb 14 10:39:38 BDT 2024","10090","Surefire suite","Surefire test","testcases.TestRegister","testcases.TestRegister","testWithInvalidCredential","Verify Register functionality with invalid credentials","User should not be allowed to Register with invalid data"
"broken","Wed Feb 14 10:36:16 BDT 2024","Wed Feb 14 10:36:56 BDT 2024","40201","Surefire suite","Surefire test","testcases.TestRegister","testcases.TestRegister","testWithInvalidCredential","Verify Register functionality with invalid credentials","User should not be allowed to Register with invalid data"
"passed","Wed Feb 14 10:43:33 BDT 2024","Wed Feb 14 10:43:45 BDT 2024","11934","Surefire suite","Surefire test","testcases.TestShoppingCart","testcases.TestShoppingCart","testRemoveProductFromCart","Verify that product should be remove from the cart","After remove the product a Cart Empty alert should be displayed"
"passed","Wed Feb 14 10:43:19 BDT 2024","Wed Feb 14 10:43:31 BDT 2024","12160","Surefire suite","Surefire test","testcases.TestShoppingCart","testcases.TestShoppingCart","testOpenShoppingCart","Verify that shopping cart should open","Shopping cart is opened and display remove product option after clicking the shopping cart button"
"broken","Wed Feb 14 10:41:27 BDT 2024","Wed Feb 14 10:42:07 BDT 2024","40262","Surefire suite","Surefire test","testcases.TestRegister","testcases.TestRegister","testWithInvalidCredential","Verify Register functionality with invalid credentials","User should not be allowed to Register with invalid data"
"passed","Wed Feb 14 10:36:04 BDT 2024","Wed Feb 14 10:36:14 BDT 2024","10138","Surefire suite","Surefire test","testcases.TestRegister","testcases.TestRegister","testWithInvalidCredential","Verify Register functionality with invalid credentials","User should not be allowed to Register with invalid data"
"broken","Wed Feb 14 10:40:44 BDT 2024","Wed Feb 14 10:41:25 BDT 2024","40494","Surefire suite","Surefire test","testcases.TestRegister","testcases.TestRegister","testWithInvalidCredential","Verify Register functionality with invalid credentials","User should not be allowed to Register with invalid data"
